salesforce_account_id,account_name,uc_dollars,non_uc_dollars,total_dollars,uc_pct,total_dbus
001Vp0000038zkoIAA,Slimming World,8006.13,1586.33,9592.46,83.5,39284.81
0016100001TPJZOAA5,Veeam,493.77,9058.6,9552.38,5.2,44191.85
001Vp000007ILqBIAW,A-Safe Group Ltd,6735.7,2645.69,9381.39,71.8,22157.96
0013f000008p5ERAAY,PwC México,3454.46,5896.94,9351.41,36.9,47501.87
001Vp00000ImFgkIAF,intellipen.cloud,6876.84,2472.86,9349.69,73.6,29375.91
0016100001WnTl5AAF,NHS Wales Informatics Service,5317.46,3985.62,9303.09,57.2,18805.77
0018Y00002vPkc7QAC,British Sugar,8437.77,816.65,9254.42,91.2,18717.92
0016100001QciS7AAJ,Conseillers en Gestion et Informatique CGI Inc. (HQ),227.61,8991.39,9219.0,2.5,74900.01
0018Y00002qRx4pQAC,Bristow and Sutor,7217.97,1977.66,9195.63,78.5,23042.51
001Vp00000CU19TIAT,Home Instead UK,6803.71,2150.68,8954.39,76.0,28652.53
00161000016xkv5AAA,National Grid,588.14,8256.79,8844.93,6.6,17099.16
0018Y000036dcdOQAQ,GB News,0.0,8771.33,8771.33,0.0,22073.17
0016100001H6gEcAAJ,Driver & Vehicle Standards Agency (DVSA),3127.18,5622.21,8749.39,35.7,16777.42
0018Y00002fqNnRQAU,Humber Teaching NHS Foundation Trust,6185.89,2525.27,8711.16,71.0,46610.18
0018Y00002o14auQAA,NHS Arden and GEM CSU,6965.15,1644.98,8610.13,80.9,22396.14
0016100001ODqdBAAT,Sodexo,1119.14,7314.59,8433.74,13.3,20724.56
0018Y000036eSSaQAM,Seer 365,633.61,7784.38,8417.99,7.5,28908.39
0016100001H6k7IAAR,BioCatch,0.0,8407.15,8407.15,0.0,90390.39
001Vp000003fLgSIAU,Newton Consulting,6375.7,2010.01,8385.71,76.0,18055.55
0014N000020rtdYQAQ,Qualitest,2703.47,5651.22,8354.69,32.4,16875.18
0016100001H6k74AAB,Baillie Gifford,34.35,8262.48,8296.83,0.4,10101.05
0013f00000Ai9wEAAR,E&Y - EMEA,0.0,8234.25,8234.25,0.0,36953.57
0018Y0000348VWbQAM,Baker Ross,6197.14,1998.2,8195.34,75.6,12493.62
001Vp00000Ph7hOIAR,BDR Group,3547.91,4551.43,8099.34,43.8,12166.37
0016100001XpU3mAAF,Retail Insights,0.0,8036.03,8036.03,0.0,23635.37
001Vp00000KdN66IAF,razorbill.media,2927.51,5100.9,8028.42,36.5,11283.02
0018Y00002scE6lQAE,DELOITTE LLP,162.85,7789.21,7952.06,2.0,44711.42
0013f000004SaCHAA0,Domino's Pizza UK & Ireland Ltd,701.61,7243.18,7944.79,8.8,42411.2
0016100000gLdzsAAC,Accenture (HQ),1144.28,6778.94,7923.22,14.4,15068.78
0018Y000032T1dZQAS,Montagu,2535.53,5381.82,7917.35,32.0,13281.3
001Vp00000MWm6UIAT,Somerset Bridge Shared Services Limited,4852.9,2960.33,7813.23,62.1,18790.88
0016100001H6kExAAJ,Portsmouth Water,55.39,7729.87,7785.25,0.7,17310.43
0013f00000642xpAAA,Pladis Global,0.0,7748.33,7748.33,0.0,47197.17
001Vp00000MMZwxIAH,Kortext,0.0,7682.65,7682.65,0.0,16457.78
0018Y00002yEfycQAC,Leeds City Council,0.0,7444.15,7444.15,0.0,15739.97
0016100001QfEvgAAF,OT Technology  LLC,5573.35,1847.79,7421.14,75.1,37008.09
0018Y00002yGCzgQAG,Kubrick Group,2158.64,5214.74,7373.37,29.3,12136.57
0016100001H5p4AAAR,Daily Mail,6261.5,1079.07,7340.56,85.3,24793.28
0016100001WoYwHAAV,Softcat PLC,4599.16,2620.87,7220.04,63.7,34132.71
001Vp00000395LUIAY,Fintru Limited,5785.62,1406.77,7192.39,80.4,14026.36
001Vp00000Rk2dcIAB,ZODIAC MARITIME LIMITED,3596.89,3460.15,7057.04,51.0,10230.56
0013f000009deGMAAY,Smoove,2460.13,4591.86,7051.99,34.9,39799.89
0018Y000036faI7QAI,Datapharm,3289.65,3682.68,6972.33,47.2,51757.95
001Vp00000XIhQ8IAL,lawfrontgroup.com,3438.97,3511.93,6950.9,49.5,20437.06
0014N00001ncWZ7QAM,Away Resorts,0.0,6866.74,6866.74,0.0,23760.36
0018Y00002sd2kIQAQ,HITACHI EUROPE LIMITED,845.67,5990.7,6836.37,12.4,26166.13
001Vp00000456iRIAQ,Inizio Health,4805.83,1992.54,6798.37,70.7,49039.13
001Vp000009kEEGIA2,Maidstone and Tunbridge Wells NHS Trust,2249.06,4543.51,6792.58,33.1,23611.28
0013f000005ScCYAA0,C. Hoare & Co.,2557.14,4199.75,6756.89,37.8,16980.84
001Vp00000LM5EgIAL,NATIONAL GAS TRANSMISSION PLC,6353.31,344.13,6697.44,94.9,14704.71
0014N000027OvJRQA0,Persimmon Homes,1472.16,5090.33,6562.5,22.4,54814.82
0016100001N1A5cAAF,The Pensions Regulator (TPR),0.0,6562.34,6562.34,0.0,13827.49
0014N000027QlkyQAC,Department for Science  Innovation & Technology (DSIT),2530.76,3865.22,6395.97,39.6,60621.12
0016100001H6kDNAAZ,Atto,34.77,6350.82,6385.6,0.5,13084.46
0016100001XnY02AAF,Ipsos,600.87,5775.81,6376.68,9.4,15114.07
0018Y00002zJ1GUQA0,CIL MANAGEMENT CONSULTANTS LIMITED,5104.37,1267.42,6371.79,80.1,11461.32
0013f000004S4duAAC,Clarksons Pl,5507.88,848.33,6356.21,86.7,28771.84
0016100001Vd1VKAAZ,Sports Direct,6004.27,292.33,6296.6,95.4,20989.35
001Vp0000096DqJIAU,Worknest,0.0,5872.65,5872.65,0.0,20322.62
0016100001Qci5NAAR,Unisys,3676.75,2185.23,5861.98,62.7,24866.01
0018Y000036eum5QAA,Alder Hey Children's Hospital NHS Foundation Trust,2945.48,2910.68,5856.16,50.3,27714.56
0018Y00002fsRWuQAM,Cumberland Building Society,4756.47,1040.87,5797.34,82.0,23994.31
0016100001Iuzm4AAB,The Body Shop,2648.49,3121.27,5769.76,45.9,11107.57
0014N00002D8OgVQAV,Northern Care Alliance NHS Foundation Trust,2568.66,3186.46,5755.12,44.6,12565.24
001Vp000005mlwQIAQ,International Schools Partnership,3189.91,2519.77,5709.68,55.9,19672.67
