salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
0016100000gKuOBAA0,RES Digital Solutions Limited,12,40640.12,3223.01
0018Y000036fEZnQAM,British Heart Foundation,7,40608.29,17902.75
0018Y00002m54GRQAY,Hanson Wade,2,40550.03,20865.56
0013f000009deGMAAY,Smoove,8,39799.89,7051.99
0013f000005Sh7VAAS,Ceta Insurance,3,39431.18,12049.01
001Vp0000038zkoIAA,Slimming World,3,39284.81,9592.46
0013f000005ScCTAA0,Womble Bond Dickinson (UK) LLP,4,38462.04,3184.89
001Vp00000VoKPtIAN,McQueens Dairies,4,38421.59,13911.1
0014N00001nfDuAQAU,Spirax Group,6,37433.32,17471.24
0016100001QfEvgAAF,OT Technology  LLC,2,37008.09,7421.14
